Name,PitchValue
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,130.54071
10,32.464066
11,130.50015
12,130.4247
13,79.5126
14,62.990555
15,62.12847
16,62.09549
17,62.111763
18,61.238213
19,58.65338
20,58.779335
21,59.82093
22,57.995804
23,58.767616
24,58.834885
25,51.50238
26,64.363014
27,64.35465
28,62.994537
29,61.09349
30,58.93931
31,57.87893
32,60.79805
33,59.806286
34,58.544373
35,58.51798
36,58.554688
37,33.741493
38,51.57679
39,52.741505
40,56.786797
41,57.0465
42,57.01996
43,58.014
44,58.22595
45,58.928455
46,57.807755
47,111.20148
48,63.67621
49,62.08455
50,62.081383
51,63.982376
52,62.09961
53,59.59908
54,59.70172
55,57.7428
56,57.639748
57,56.04267
58,53.82141
59,50.920967
60,63.147675
61,63.13041
62,63.072914
63,60.691895
64,59.61265
65,58.846558
66,59.616474
67,56.251076
68,56.3573
69,56.344036
70,33.868645
71,63.49418
72,63.455017
73,63.443047
74,63.45601
75,60.57377
76,61.286423
77,58.297737
78,59.502556
79,60.772293
80,59.654354
81,17.332186
82,18.93201
83,59.659363
84,59.756023
85,60.748756
86,59.990166
87,55.422592
88,58.45791
89,56.866394
90,58.04357
91,59.43383
92,58.16224
93,16.912605
94,61.228714
95,61.183136
96,61.177055
97,57.846344
98,57.009644
99,56.918438
100,57.11287
101,57.172516
102,56.15444
103,53.65797
104,51.52043
105,55.961117
106,57.61527
107,57.60778
108,58.805763
109,58.88609
110,55.413467
111,56.09442
112,54.381996
113,53.972504
114,52.331783
115,0
116,19.002914
117,23.544167
118,57.021286
119,59.73989
120,59.511024
121,58.07831
122,54.45246
123,55.326015
124,54.377197
125,55.38952
126,55.55243
127,55.64457
128,51.84017
129,25.737873
130,46.19173
131,44.676605
132,44.241264
133,43.816532
134,44.08243
135,46.1371
136,42.081436
137,42.860516
138,38.145233
139,41.92034
140,38.332462
141,38.191864
142,39.083267
143,49.13819
144,66.03538
145,66.08346
146,66.10239
147,66.160385
148,66.20082
149,66.2178
150,49.13434
151,49.090614
152,27.228443
153,42.185463
154,37.136833
155,42.193153
156,42.17753
157,42.188026
158,42.7522
159,61.101547
160,61.135788
161,61.152473
162,61.190125
163,42.26504
